"GEOID","NAME","date","ntl_mean","lon","lat"
"12001","Alachua",2014-01-01,1.77281363688314,-82.3576035441068,29.6747211431133
"12001","Alachua",2014-02-01,1.93324443866766,-82.3576035441068,29.6747211431133
"12001","Alachua",2014-03-01,2.40292320646171,-82.3576035441068,29.6747211431133
"12001","Alachua",2014-04-01,2.20626399320573,-82.3576035441068,29.6747211431133
"12001","Alachua",2014-05-01,2.02617088487027,-82.3576035441068,29.6747211431133
"12001","Alachua",2014-06-01,1.87546754585348,-82.3576035441068,29.6747211431133
"12001","Alachua",2014-07-01,1.97032221283434,-82.3576035441068,29.6747211431133
"12001","Alachua",2014-08-01,1.9719480724655,-82.3576035441068,29.6747211431133
"12001","Alachua",2014-09-01,1.82026085061372,-82.3576035441068,29.6747211431133
"12001","Alachua",2014-10-01,2.10906240404053,-82.3576035441068,29.6747211431133
"12001","Alachua",2014-11-01,2.02667612937416,-82.3576035441068,29.6747211431133
"12001","Alachua",2014-12-01,2.23769345387575,-82.3576035441068,29.6747211431133
"12001","Alachua",2015-01-01,2.29328099482011,-82.3576035441068,29.6747211431133
"12001","Alachua",2015-02-01,2.39641024760616,-82.3576035441068,29.6747211431133
"12001","Alachua",2015-03-01,2.25038627708733,-82.3576035441068,29.6747211431133
"12001","Alachua",2015-04-01,1.91895664886989,-82.3576035441068,29.6747211431133
"12001","Alachua",2015-05-01,1.97686196927034,-82.3576035441068,29.6747211431133
"12001","Alachua",2015-06-01,2.02376575290029,-82.3576035441068,29.6747211431133
"12001","Alachua",2015-07-01,1.75511911343765,-82.3576035441068,29.6747211431133
"12001","Alachua",2015-08-01,1.70362111223271,-82.3576035441068,29.6747211431133
"12001","Alachua",2015-09-01,1.89417566212987,-82.3576035441068,29.6747211431133
"12001","Alachua",2015-10-01,2.00004548035464,-82.3576035441068,29.6747211431133
"12001","Alachua",2015-11-01,2.13534293919983,-82.3576035441068,29.6747211431133
"12001","Alachua",2015-12-01,2.08826886712073,-82.3576035441068,29.6747211431133
"12001","Alachua",2016-01-01,1.94601415803519,-82.3576035441068,29.6747211431133
"12001","Alachua",2016-02-01,2.11438976950515,-82.3576035441068,29.6747211431133
"12001","Alachua",2016-03-01,2.22668881386994,-82.3576035441068,29.6747211431133
"12001","Alachua",2016-04-01,2.18170883721575,-82.3576035441068,29.6747211431133
"12001","Alachua",2016-05-01,2.10388505926303,-82.3576035441068,29.6747211431133
